mer. 22 mai 2019 17:19:57	help 
mer. 22 mai 2019 17:20:19	write toto@disco hola amigo
mer. 22 mai 2019 17:21:38	su -admin
mer. 29 mai 2019 11:18:18	help 
mer. 29 mai 2019 11:18:40	finger 
mer. 29 mai 2019 11:18:54	who 
mer. 29 mai 2019 11:18:57	rusers 
mer. 29 mai 2019 11:19:01	rhost 
mer. 29 mai 2019 11:23:01	who 
mer. 29 mai 2019 11:23:17	who 
mer. 29 mai 2019 11:23:20	rusers 
mer. 29 mai 2019 11:23:37	rusers 
mer. 29 mai 2019 11:23:43	who 
mer. 29 mai 2019 17:56:40	who 
mer. 29 mai 2019 17:56:46	finger 
